種類,英文,中文
褲,Pocket Opening Band Height,袋口高
褲,POCKET OPENING LENGTH,袋口高
褲,POCKET OPENING,袋口長
褲,POCKET OPENING WIDTH,袋口寬
褲,PATCH POCKET HEIGHT,貼袋高
褲,PATCH POCKET WIDTH,貼袋寬
褲,POCKET HEM HEIGHT,口袋高
褲,POCKET BAG HEIGHT ,口袋高
褲,POCKET BAG WIDTH,口袋寬
褲,ZIPPER POCKET OPENING,拉鍊口袋袋口寬
褲,POCKET FLAP HEIGH,袋蓋高
褲,POCKET BAG WIDTH - SIDE BODY,側口袋寬
褲,POCKET BAG HEIGHT - SIDE BODY,側口袋高
褲,POCKET OPENING HEIGH,袋口高
褲,POCKET OPENING BAND HEIGHT,袋口高
褲,Inseam - Short/Thigh,內長
褲,Leg Opening - Short/Thigh - Flat,褲口寬 (平量)
褲,Front Contrast Panel Height @ Inseam,下大身前剪接高 (內長量)
褲,Front Contrast Panel Height @ Outseam,下大身前剪接高 (外長量)
褲,Elastic Height,鬆緊帶高
褲,Waist Relaxed @ Top Edge of Waistband - Flat,腰圍鬆量-腰頭頂端 (平量)
褲,Waist Relaxed @ Bottom Edge of Waistband - Flat,腰圍鬆量-腰頭底端 (平量)
褲,Front Rise from Top Edge of Waistband to gusset seam,前檔-腰頂量至襠接縫量
褲,Back Rise from Top Edge of Waistband to gusset seam,後檔-腰頂量至襠接縫量
褲,Low Hip Position from Top of Waistband,臀圍量點-腰頂下量
褲,"Thigh - 1"" Below Crotch- Flat","腿圍-檔下1"" (平量)"
褲,Inseam - Short/Knee,內長
褲,Gusset Length (Rise) - Excluding Seams,檔接片長-前檔到後檔 (不含縫)
褲,Gusset Width (Inseam) - Excluding Seams,檔接片寬-在內長上 (不含縫)
褲,Side Pocket Placement from Waist Seam @ Back,側貼袋位置-距腰縫量-後緣量
褲,Pocket Placement from Waist Seam @ Front,側貼袋位置-距腰縫量-前緣量
褲,Patch Pocket Width at Center,貼袋寬-中間量
褲,Patch Pocket Height at Center - from PK Opening to BTM Edge,貼袋高-中間量-從外袋開口到內袋底端(不含縫份)
褲,Pocket External Stitching - length from WB seam to edge @ Front,側貼袋外壓線長-距腰縫量-前片量
褲,Pocket External Stitching - length from WB seam to edge @ Back,側貼袋外壓線長-距腰縫量-後片量
褲,Waist Extended @ Top Edge of Waistband - Flat,腰圍拉量-腰頭頂端 (平量)
褲,Faux Fly Length -Waist Seam to Bottom Stitch Line,假前立長-腰縫到壓線底端
褲,Faux Fly Width - Edge to Furthest Stitch Line,假前立寬-邊到最遠的壓線
