防呆編號,防呆站別,適用產品,防呆主題,條件1,條件2,條件3,改訂理由/說明
OFP00761,SOP,CGI/CGL,厚板3呎訂單寬度厚板限重下限不可>=8噸（對切：需下修OR不分切）,鋼捲下限重>=8,訂單寬度<=950,訂單厚度>=1.2,三尺熱軋厚板較薄，批量限重無法符合各厚度限制，故技術端針對此三條件管控
OFP00142,MKT,方針管制特殊產品,方針管制之特殊產品，請設定訂單追蹤以確保掌握每批生產情況,產品=方針管制品,-,-,特殊產品需滾動調整，設訂單追蹤確保掌握
OFP00143,SOP,PPGI,CC1 SYSCO烤材標規對應認證需確認,產品=PPGI,線別=CC1,-,避免標準規格與認證不符
OFP00158,MKT,ALL,確認訂單分切限重過小的原因,分切限重<產線下限,-,-,限重過小可能無法分切，需確認原因
OFP00366,SOP,高耗能增噸,適用非真立式輪，須立叫每桶綑桶紙包，禁止疊放,製程=高耗能增噸,非真立式輪,-,綑桶紙包禁止疊放，避免壓傷
OFP00739,SOP,CR規格訂單,正面漆塗料板溫差異提醒,CR規格訂單,正面漆塗料板溫異常,-,板溫差異須確認塗裝批次設定
OFP00146,RAW,ALL,TIN CR2 SYSCO烤材標規對應認證確認,CR2帶入,標規認證,-,CR2 PSN建立時確認認證對應
OFP00030,SOP,ALL,用途與選配碼不符提醒,用途碼≠選配碼對應,-,-,避免下單用途別與色碼不符(對照附件8)
